compound	Species	V1	Var	Mean	VarShare
C01035	4407703	0	24791169612.1479	-135628.180976871	0
C01035	440840	-15501077.7981796	24791169612.1479	-135628.180976871	-0.000625266094367083
C01035	4409730	0	24791169612.1479	-135628.180976871	0
C01035	4410988	0	24791169612.1479	-135628.180976871	0
C01035	441494	0	24791169612.1479	-135628.180976871	0
C01035	4416396	0	24791169612.1479	-135628.180976871	0
C01035	4416434	24510251.2193439	24791169612.1479	-135628.180976871	0.00098866861075137
C01035	4416927	87375733.4008502	24791169612.1479	-135628.180976871	0.00352446999346232
C01035	4417539	0	24791169612.1479	-135628.180976871	0
C01035	4418586	0	24791169612.1479	-135628.180976871	0
C01035	4420206	0	24791169612.1479	-135628.180976871	0
C01035	4420272	87375733.4008502	24791169612.1479	-135628.180976871	0.00352446999346232
C01035	4421933	-9936588.33216643	24791169612.1479	-135628.180976871	-0.000400811598953258
C01035	4424239	2252293.35529106	24791169612.1479	-135628.180976871	9.08506290960718e-05
C01035	4424327	90290465.9782857	24791169612.1479	-135628.180976871	0.00364204139582194
C01035	4425571	0	24791169612.1479	-135628.180976871	0
C01035	4426877	-31134643.4407882	24791169612.1479	-135628.180976871	-0.00125587634338688
C01035	4428313	0	24791169612.1479	-135628.180976871	0
C01035	4430498	0	24791169612.1479	-135628.180976871	0
C01035	4432234	0	24791169612.1479	-135628.180976871	0
C01035	4432238	0	24791169612.1479	-135628.180976871	0
C01035	4432841	0	24791169612.1479	-135628.180976871	0
C01035	4433947	0	24791169612.1479	-135628.180976871	0
C01035	4435934	-57786781.478399	24791169612.1479	-135628.180976871	-0.00233094212102373
C01035	443620	0	24791169612.1479	-135628.180976871	0
C01035	4437875	0	24791169612.1479	-135628.180976871	0
C01035	4439360	0	24791169612.1479	-135628.180976871	0
C01035	4440360	3219785839.233	24791169612.1479	-135628.180976871	0.129876318447487
C01035	4440624	39481377.639808	24791169612.1479	-135628.180976871	0.00159255808650761
C01035	4440970	0	24791169612.1479	-135628.180976871	0
C01035	4442899	0	24791169612.1479	-135628.180976871	0
C01035	4443094	0	24791169612.1479	-135628.180976871	0
C01035	4444771	0	24791169612.1479	-135628.180976871	0
C01035	4446898	0	24791169612.1479	-135628.180976871	0
C01035	4447176	3908391.41065213	24791169612.1479	-135628.180976871	0.000157652562254948
C01035	4448052	0	24791169612.1479	-135628.180976871	0
C01035	4449236	7816782.82130426	24791169612.1479	-135628.180976871	0.000315305124509896
C01035	4449518	0	24791169612.1479	-135628.180976871	0
C01035	4449524	0	24791169612.1479	-135628.180976871	0
C01035	4449526	0	24791169612.1479	-135628.180976871	0
C01035	4449633	0	24791169612.1479	-135628.180976871	0
C01035	4449851	0	24791169612.1479	-135628.180976871	0
C01035	4449984	0	24791169612.1479	-135628.180976871	0
C01035	4451901	0	24791169612.1479	-135628.180976871	0
C01035	4452613	2252293.35529106	24791169612.1479	-135628.180976871	9.08506290960718e-05
C01035	4453627	0	24791169612.1479	-135628.180976871	0
C01035	4453723	0	24791169612.1479	-135628.180976871	0
C01035	4454025	-21065567.2641928	24791169612.1479	-135628.180976871	-0.000849720589780907
C01035	4455677	0	24791169612.1479	-135628.180976871	0
C01035	4456605	-31134643.4407882	24791169612.1479	-135628.180976871	-0.00125587634338688
C01035	4459184	0	24791169612.1479	-135628.180976871	0
C01035	4460560	0	24791169612.1479	-135628.180976871	0
C01035	4460604	10876964970.6153	24791169612.1479	-135628.180976871	0.438743517985753
C01035	446135	0	24791169612.1479	-135628.180976871	0
C01035	4462541	2309196884.47326	24791169612.1479	-135628.180976871	0.0931459435194109
C01035	4463108	0	24791169612.1479	-135628.180976871	0
C01035	4464113	877202017.963653	24791169612.1479	-135628.180976871	0.0353836479555936
C01035	4464787	3441702978.65138	24791169612.1479	-135628.180976871	0.138827777490777
C01035	4467447	0	24791169612.1479	-135628.180976871	0
C01035	4471135	0	24791169612.1479	-135628.180976871	0
C01035	4471525	0	24791169612.1479	-135628.180976871	0
C01035	4475886	3908391.41065213	24791169612.1479	-135628.180976871	0.000157652562254948
C01035	4476330	0	24791169612.1479	-135628.180976871	0
C01035	4476780	0	24791169612.1479	-135628.180976871	0
C01035	4480176	0	24791169612.1479	-135628.180976871	0
C01035	4480555	0	24791169612.1479	-135628.180976871	0
C01035	4480557	-17687127.2312562	24791169612.1479	-135628.180976871	-0.000713444646136799
C01035	4481359	94662564.8444389	24791169612.1479	-135628.180976871	0.00381839849936137
C01035	4481506	0	24791169612.1479	-135628.180976871	0
C01035	4483570	0	24791169612.1479	-135628.180976871	0
C01035	4483585	-33055717.185007	24791169612.1479	-135628.180976871	-0.00133336658585117
C01035	449353	0	24791169612.1479	-135628.180976871	0
C05635	4402042	0	239997234040.518	581240.601049563	0
C05635	4402077	807350557.234694	239997234040.518	581240.601049563	0.00336399942467
C05635	4403349	154244108.943231	239997234040.518	581240.601049563	0.000642691194170973
C05635	4405128	6468534556.53475	239997234040.518	581240.601049563	0.0269525379423443
C05635	4407190	9918674935.06438	239997234040.518	581240.601049563	0.0413282885309829
C05635	4407703	13390147845.2248	239997234040.518	581240.601049563	0.0557929256924861
C05635	440840	-126509401.907938	239997234040.518	581240.601049563	-0.000527128583017668
C05635	4409730	145401859.139296	239997234040.518	581240.601049563	0.0006058480620437
C05635	4410988	263521995.352108	239997234040.518	581240.601049563	0.0010980209684734
C05635	441494	0	239997234040.518	581240.601049563	0
C05635	4416396	0	239997234040.518	581240.601049563	0
C05635	4416434	-17986489.013742	239997234040.518	581240.601049563	-7.49445679474179e-05
C05635	4416927	236560381.195847	239997234040.518	581240.601049563	0.000985679614773848
C05635	4417539	0	239997234040.518	581240.601049563	0
C05635	4418586	0	239997234040.518	581240.601049563	0
C05635	4420206	-229451550.581618	239997234040.518	581240.601049563	-0.000956059145843656
C05635	4420272	0	239997234040.518	581240.601049563	0
C05635	4421933	-53959467.0412259	239997234040.518	581240.601049563	-0.000224833703842254
C05635	4424239	0	239997234040.518	581240.601049563	0
