met	KEGG
nac[e]	C00253
nh4[e]	C00014
nmn[e]	C00455
no2[e]	C00088
no3[e]	NA
o2[e]	C00007
ocdca[e]	C01530
orn[e]	C00077
pac[e]	C07086
pb[e]	NA
phe_L[e]	C00079
pi[e]	C00009
pnto_R[e]	C00864
ppa[e]	C00163
ppi[e]	C00013
pppn[e]	NA
pro_L[e]	C00148
ptrc[e]	C00134
pydam[e]	C00534
pydx[e]	C00250
pydxn[e]	C00314
rib_D[e]	C00121
rmn[e]	NA
salcn[e]	C01451
sbt_D[e]	C00794
sel[e]	C05697
selni[e]	NA
ser_L[e]	C00065
so4[e]	C00059
spmd[e]	C00315
sucr[e]	C00089
sulfac[e]	NA
taur[e]	C00245
thm[e]	C00378
thr_L[e]	C00188
thymd[e]	C00214
tma[e]	NA
tmao[e]	NA
tre[e]	C01083
trp_L[e]	C00078
tsul[e]	C05529
ttdca[e]	C06424
tym[e]	C00483
tyr_L[e]	C00082
ura[e]	C00106
urea[e]	C00086
uri[e]	C00299
val_L[e]	C00183
xan[e]	C00385
xtsn[e]	C01762
xyl_D[e]	NA
zn2[e]	NA
fuc1p_L[c]	C02985
ttdca[c]	C06424
hdca[c]	C00249
hdcea[c]	C08362
hdcoa[c]	NA
ocdca[c]	C01530
ocdcea[c]	C00712
odecoa[c]	C00510
fa4[c]	NA
fa12[c]	NA
fa1[c]	NA
fa3[c]	NA
fa6[c]	NA
fa11[c]	NA
fdp[c]	C00354
f1p[c]	C01094
s17bp[c]	NA
f6p[c]	C00085
fuc_L[c]	C01019
fcl_L[c]	NA
fc1p[c]	NA
lald_L[c]	C00424
fe2[c]	C14818
ppp9[c]	C02191
pheme[c]	C00032
isetac[c]	NA
mso3[c]	NA
btal[c]	NA
hexs[c]	NA
hxal[c]	NA
sulfac[c]	NA
fe3[c]	C14819
fecrm[c]	NA
h2[c]	C00282
2ahhmd[c]	NA
5thf[c]	NA
10fthf5glu[c]	NA
thfglu[c]	NA
fdxrd[c]	C00138
fdxox[c]	C00139
frdp[c]	C00448
ggdp[c]	C00353
5fthf[c]	C03479
methf[c]	C00445
mal_L[c]	C00149
gam1p[c]	NA
acgam1p[c]	C04256
g1p[c]	C00103
dtdpglu[c]	C00842
glu1sa[c]	NA
5aop[c]	C00430
glyc3p[c]	C00093
glu5sa[c]	C01165
1pyr5c[c]	C04322
glu5p[c]	C03287
6pgl[c]	C01236
galct_D[c]	NA
tag6p_D[c]	NA
5dh4dglc[c]	NA
galctn_D[c]	NA
gal[c]	C00984
gal1p[c]	C00446
melib[c]	NA
udpgal[c]	C00052
gicolipa[c]	NA
udpg[c]	C00029
gagicolipa[c]	NA
galt1p[c]	NA
galur[c]	NA
gar[c]	C03838
fgam[c]	C04376
glyclt[c]	C00160
lpro[c]	NA
alpro[c]	NA
dhlpro[c]	NA
mlthf[c]	C00143
gdpddman[c]	C01222
gdpfuc[c]	C00325
ggbutal[c]	NA
gg4abut[c]	NA
gthrd[c]	C00051
pendp[c]	NA
ser_L[c]	C00065
2dhglcn[c]	NA
glutar[c]	C00489
glutcoa[c]	C00527
glycogen[c]	NA
glycogenb[c]	NA
glcr[c]	C00818
adpglc[c]	C00498
icolipa[c]	NA
ggagicolipa[c]	NA
glcur[c]	C00191
uaaAgla[c]	NA
uaaAgtla[c]	NA
uaaGgla[c]	NA
uaaGgtla[c]	NA
uaagmda[c]	NA
uaagtmda[c]	NA
glucys[c]	C00669
pram[c]	C03090
glu_D[c]	NA
glutrna[c]	NA
trnaglu[c]	NA
glyasn[c]	NA
glyasp[c]	NA
glygln[c]	NA
glyglu[c]	NA
glyleu[c]	C02155
glymet[c]	NA
lgt_S[c]	C03451
glyphe[c]	NA
phe_L[c]	C00079
glypro[c]	NA
pro_L[c]	C00148
glytyr[c]	NA
tyr_L[c]	C00082
gdpmann[c]	C00096
gmhep1p[c]	NA
gmhep7p[c]	NA
gmhep17bp[c]	NA
xmp[c]	C00655
gsn[c]	C00387
gua[c]	C00242
g15lac[c]	NA
g3pc[c]	C00670
g3pe[c]	NA
g3pg[c]	NA
gtspmd[c]	NA
spmd[c]	C00315
gthox[c]	C00127
gdptp[c]	NA
ppgpp[c]	NA
xan[c]	C00385
fruur[c]	NA
tagur[c]	NA
2maacoa[c]	C03344
3hadpcoa[c]	C14145
hoacoa[c]	C14145
3ophb[c]	NA
hemeO[c]	NA
hhlipa[c]	NA
phhlipa[c]	NA
hphhlipa[c]	NA
phphhlipa[c]	NA
hlipa[c]	NA
gggagicolipa[c]	NA
colipa[c]	NA
hepdp[c]	NA
4mhetz[c]	NA
4mpetz[c]	NA
man[c]	C00159
man6p[c]	C00275
fru[c]	C02336
hexdp[c]	NA
hg2[c]	NA
3hmp[c]	C06001
2mop[c]	C00349
histd[c]	NA
histl_L[c]	NA
hisp[c]	NA
hkndd[c]	NA
op4en[c]	NA
hkntd[c]	NA
k[c]	C00238
ppbng[c]	C00931
hmbil[c]	C01024
4h2opntn[c]	NA
hpyr[c]	C00168
hom_L[c]	C00263
phom[c]	C01102
suchms[c]	NA
imacp[c]	NA
12daihdglyc[c]	NA
12daipdglyc[c]	NA
ibcoa[c]	C00630
ichor[c]	NA
idon_L[c]	NA
prlp[c]	NA
eig3p[c]	NA
2cpr5p[c]	NA
3ig3p[c]	NA
12dihdglyc[c]	NA
12dixdglyc[c]	NA
ile_L[c]	C00407
indole[c]	NA
12dipdglyc[c]	NA
3c2hmp[c]	NA
3c4mop[c]	NA
2ippm[c]	NA
12ditdglyc[c]	NA
ivcoa[c]	C02939
dhdpacoa[c]	C19945
kdo[c]	NA
kdo8p[c]	NA
xu5p_L[c]	NA
l2a6o[c]	NA
lcts[c]	C00243
Largn[c]	C00826
lac_L[c]	C00186
Lcyst[c]	C57006
4mop[c]	C00233
lipidX[c]	NA
u23ga[c]	NA
lipidAds[c]	NA
adhlam[c]	NA
ttdcea[c]	C08322
1agpe120[c]	NA
1agpe140[c]	NA
1agpe141[c]	NA
1agpe160[c]	NA
1agpe161[c]	NA
1agpe180[c]	NA
1agpe181[c]	NA
1agpg120[c]	NA
1agpg140[c]	NA
1agpg141[c]	NA
1agpg160[c]	NA
1agpg161[c]	NA
1agpg180[c]	NA
1agpg181[c]	NA
2ddecg3p[c]	NA
2tdecg3p[c]	NA
2tdec7eg3p[c]	NA
2hdecg3p[c]	NA
2hdec9eg3p[c]	NA
2odecg3p[c]	NA
2odec11eg3p[c]	NA
2agpe120[c]	NA
2agpe140[c]	NA
2agpe141[c]	NA
2agpe160[c]	NA
2agpe161[c]	NA
2agpe180[c]	NA
2agpe181[c]	NA
2agpg120[c]	NA
2agpg140[c]	NA
2agpg141[c]	NA
2agpg160[c]	NA
2agpg161[c]	NA
2agpg180[c]	NA
2agpg181[c]	NA
mnl1p[c]	NA
malcoam[c]	NA
mal_D[c]	NA
malt6p[c]	NA
acmalt[c]	NA
man1p[c]	C00636
mantr[c]	NA
mana[c]	NA
2mcit[c]	NA
2mcacn[c]	C04225
micit[c]	C04593
5mtc[c]	NA
2mecdp[c]	NA
melt[c]	NA
metala[c]	NA
achms[c]	NA
met_D[c]	NA
5mthf[c]	C00440
metsox_S_L[c]	NA
metsox_R_L[c]	NA
mg2[c]	NA
mi1p_D[c]	C01177
inost[c]	C00137
mi3p_D[c]	C04006
mi4p_D[c]	C03546
g1p_B[c]	C00663
mmcoa_S[c]	C00683
mmcoa_R[c]	C00683
mn2[c]	NA
lipidA[c]	NA
kphphhlipa[c]	NA
mops[c]	NA
5mta[c]	C00170
5mtr[c]	NA
nac[c]	C00253
dnad[c]	C00857
nicrnt[c]	C01185
nmn[c]	C00455
rnam[c]	C03150
ncam[c]	C00153
dmbzid[c]	NA
5prdmbz[c]	NA
quln[c]	C03722
no2[c]	C00088
no3[c]	NA
no[c]	C00533
2oph[c]	NA
2ohph[c]	NA
r1p[c]	C00620
nicrns[c]	C05841
sbzcoa[c]	NA
xtsn[c]	C01762
thymd[c]	C00214
damp[c]	C00360
ohpb[c]	NA
orot5p[c]	C01103
pac[c]	C07086
phaccoa[c]	C00582
pnto_R[c]	C00864
uGgla[c]	NA
uaGgla[c]	NA
ugmda[c]	NA
uagmda[c]	NA
pb[c]	NA
dhlam[c]	C00579
pdx5p[c]	C00627
pydx5p[c]	C00018
PGPm1[c]	NA
udcpdp[c]	NA
PGP[c]	NA
tagdp_D[c]	NA
s7p[c]	C05382
3php[c]	C03232
2pglyc[c]	C00988
pgp120[c]	NA
pg120[c]	NA
pgp140[c]	NA
pgp141[c]	NA
pg141[c]	NA
pgp160[c]	NA
pgp161[c]	NA
pg161[c]	NA
pgp180[c]	NA
pgp181[c]	NA
pg181[c]	NA
pgpai15[c]	NA
pgpai17[c]	NA
pgpi14[c]	NA
pgpi15[c]	NA
pgpi16[c]	NA
pgpi17[c]	NA
