Rxn	Species	SamplesWithNeg	SamplesWithPos	SamplesWithBoth	FracPosLastTP	FracNegLastTP	ClearPos	ClearNeg	Reversible
ADK2	CsymbiosumAGORA	0	61	0	1	0	1	0	0
ADK2	ErectaleAGORA	0	61	0	1	0	1	0	0
ADK3	BovatusAGORA	0	52	0	0.0192307692307692	0	1	0	0
ADK3	BthetaiotaomicronAGORA	0	58	0	0	0	1	0	0
ADK3	CaerofaciensAGORA	0	61	0	1	0	1	0	0
ADK5	BovatusAGORA	0	53	0	0.0566037735849057	0	1	0	0
ADK5	BthetaiotaomicronAGORA	0	59	0	0.0677966101694915	0	1	0	0
ADK5	CaerofaciensAGORA	0	61	0	1	0	1	0	0
ADK7	BthetaiotaomicronAGORA	0	5	0	0	0	1	0	0
ADK7	CaerofaciensAGORA	0	4	0	0	0	1	0	0
ADK8	BovatusAGORA	0	52	0	0.0192307692307692	0	1	0	0
ADK8	BthetaiotaomicronAGORA	0	58	0	0.0344827586206897	0	1	0	0
ADMDCr	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
ADMDCr	CsymbiosumAGORA	0	61	0	1	0	1	0	0
ADMDCr	ErectaleAGORA	0	61	0	1	0	1	0	0
ADNK1	CsymbiosumAGORA	0	61	0	0	0	1	0	0
ADNUC	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
ADOCBIK	CsymbiosumAGORA	0	61	0	1	0	1	0	0
ADOCBIK	ErectaleAGORA	0	61	0	1	0	1	0	0
ADOCBIK2	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
ADOCBLS	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
ADOCBLS	CsymbiosumAGORA	0	61	0	1	0	1	0	0
ADOCBLS	ErectaleAGORA	0	61	0	1	0	1	0	0
ADPT	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
ADPT	ErectaleAGORA	0	61	0	1	0	1	0	0
ADSK	DpigerAGORA	0	58	0	0.0517241379310345	0	1	0	0
ADSL1r	BcaccaeAGORA	0	61	0	1	0	1	0	0
ADSL1r	BhydrogenotrophicaAGORA	0	61	0	1	0	1	0	0
ADSL1r	BovatusAGORA	0	61	0	1	0	1	0	0
ADSL1r	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
ADSL1r	CaerofaciensAGORA	0	61	0	1	0	1	0	0
ADSL1r	CsymbiosumAGORA	0	61	0	1	0	1	0	0
ADSL1r	DpigerAGORA	0	61	0	1	0	1	0	0
ADSL1r	EcoliAGORA	0	61	0	1	0	1	0	0
ADSL1r	ErectaleAGORA	0	61	0	1	0	1	0	0
ADSL1r	MformatexigensAGORA	0	61	0	1	0	1	0	0
ADSL2r	BcaccaeAGORA	0	61	0	1	0	1	0	0
ADSL2r	BhydrogenotrophicaAGORA	0	61	0	1	0	1	0	0
ADSL2r	BovatusAGORA	0	61	0	1	0	1	0	0
ADSL2r	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
ADSL2r	CaerofaciensAGORA	0	61	0	1	0	1	0	0
ADSL2r	CsymbiosumAGORA	0	61	0	1	0	1	0	0
ADSL2r	DpigerAGORA	0	61	0	1	0	1	0	0
ADSL2r	EcoliAGORA	0	61	0	1	0	1	0	0
ADSL2r	ErectaleAGORA	0	61	0	1	0	1	0	0
ADSL2r	MformatexigensAGORA	0	61	0	1	0	1	0	0
ADSS	BcaccaeAGORA	0	61	0	1	0	1	0	0
ADSS	BhydrogenotrophicaAGORA	0	61	0	1	0	1	0	0
ADSS	BovatusAGORA	0	61	0	1	0	1	0	0
ADSS	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
ADSS	CaerofaciensAGORA	0	61	0	1	0	1	0	0
ADSS	CsymbiosumAGORA	0	61	0	1	0	1	0	0
ADSS	DpigerAGORA	0	61	0	1	0	1	0	0
ADSS	EcoliAGORA	0	61	0	1	0	1	0	0
ADSS	ErectaleAGORA	0	61	0	1	0	1	0	0
ADSS	MformatexigensAGORA	0	61	0	1	0	1	0	0
AGMD	BthetaiotaomicronAGORA	0	13	0	0	0	1	0	0
AGMHE	BcaccaeAGORA	0	61	0	1	0	1	0	0
AGMHE	BovatusAGORA	0	61	0	1	0	1	0	0
AGMHE	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
AGPR	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
AGPR	CaerofaciensAGORA	0	61	0	1	0	1	0	0
AGPR	DpigerAGORA	0	61	0	1	0	1	0	0
AGPR	ErectaleAGORA	0	61	0	1	0	1	0	0
AHC	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
AHCYSNS_r	CsymbiosumAGORA	0	61	0	1	0	1	0	0
AHCYSNS_r	ErectaleAGORA	0	61	0	1	0	1	0	0
AHSERL3	CsymbiosumAGORA	0	61	0	0	0	1	0	0
AICART	BcaccaeAGORA	0	61	0	1	0	1	0	0
AICART	BhydrogenotrophicaAGORA	0	61	0	1	0	1	0	0
AICART	BovatusAGORA	0	61	0	1	0	1	0	0
AICART	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
AICART	CaerofaciensAGORA	0	61	0	1	0	1	0	0
AICART	CsymbiosumAGORA	0	61	0	1	0	1	0	0
AICART	DpigerAGORA	0	61	0	1	0	1	0	0
AICART	EcoliAGORA	0	61	0	1	0	1	0	0
AICART	ErectaleAGORA	0	61	0	1	0	1	0	0
AICART	MformatexigensAGORA	0	61	0	1	0	1	0	0
AIHDUDPMG	CsymbiosumAGORA	0	61	0	1	0	1	0	0
AIHDUDPMG	ErectaleAGORA	0	61	0	1	0	1	0	0
AIHDUPDG	CsymbiosumAGORA	0	61	0	1	0	1	0	0
AIHDUPDG	ErectaleAGORA	0	61	0	1	0	1	0	0
AIHPDCOATA	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
AIHPDCOATA	CsymbiosumAGORA	0	61	0	1	0	1	0	0
AIHPDCOATA	ErectaleAGORA	0	61	0	1	0	1	0	0
AIRC4	BcaccaeAGORA	0	61	0	1	0	1	0	0
AIRC4	BhydrogenotrophicaAGORA	0	61	0	1	0	1	0	0
AIRC4	BovatusAGORA	0	61	0	1	0	1	0	0
AIRC4	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
AIRC4	CaerofaciensAGORA	0	61	0	1	0	1	0	0
AIRC4	CsymbiosumAGORA	0	61	0	1	0	1	0	0
AIRC4	DpigerAGORA	0	61	0	1	0	1	0	0
