SimRun	TimePoint	Species	Code	value
36	577	CaerofaciensAGORA	Ca	0.007545509
37	577	CaerofaciensAGORA	Ca	0.006775279
38	577	CaerofaciensAGORA	Ca	0.007948835
39	577	CaerofaciensAGORA	Ca	0.006514189
40	577	CaerofaciensAGORA	Ca	0.005241805
41	577	CaerofaciensAGORA	Ca	0.004450299
42	577	CaerofaciensAGORA	Ca	0.003491417
43	577	CaerofaciensAGORA	Ca	0.002770862
44	577	CaerofaciensAGORA	Ca	0.009693702
45	577	CaerofaciensAGORA	Ca	0.00905939
46	577	CaerofaciensAGORA	Ca	0.008368954
47	577	CaerofaciensAGORA	Ca	0.007852595
48	577	CaerofaciensAGORA	Ca	0.007099738
49	577	CaerofaciensAGORA	Ca	0.006378427
50	577	CaerofaciensAGORA	Ca	0.01050268
51	577	CaerofaciensAGORA	Ca	0.01030614
52	577	CaerofaciensAGORA	Ca	0.01000135
53	577	CaerofaciensAGORA	Ca	0.009727742
54	577	CaerofaciensAGORA	Ca	0.009281166
55	577	CaerofaciensAGORA	Ca	0.008804643
56	577	CaerofaciensAGORA	Ca	0.01030523
57	577	CaerofaciensAGORA	Ca	0.01003496
58	577	CaerofaciensAGORA	Ca	0.009684307
59	577	CaerofaciensAGORA	Ca	0.009388987
60	577	CaerofaciensAGORA	Ca	0.008899335
61	577	CaerofaciensAGORA	Ca	0.008343997
1	577	CsymbiosumAGORA	Cs	0.09407153
2	577	CsymbiosumAGORA	Cs	0.08898803
3	577	CsymbiosumAGORA	Cs	0.08639773
4	577	CsymbiosumAGORA	Cs	0.08439841
5	577	CsymbiosumAGORA	Cs	0.08332493
6	577	CsymbiosumAGORA	Cs	0.0825425
7	577	CsymbiosumAGORA	Cs	0.08232436
8	577	CsymbiosumAGORA	Cs	0.09258308
9	577	CsymbiosumAGORA	Cs	0.0916086
10	577	CsymbiosumAGORA	Cs	0.0905884
11	577	CsymbiosumAGORA	Cs	0.08984686
12	577	CsymbiosumAGORA	Cs	0.08878096
13	577	CsymbiosumAGORA	Cs	0.08783436
14	577	CsymbiosumAGORA	Cs	0.09395349
15	577	CsymbiosumAGORA	Cs	0.09384574
16	577	CsymbiosumAGORA	Cs	0.09371957
17	577	CsymbiosumAGORA	Cs	0.09363348
18	577	CsymbiosumAGORA	Cs	0.09353363
19	577	CsymbiosumAGORA	Cs	0.09345187
20	577	CsymbiosumAGORA	Cs	0.09275946
21	577	CsymbiosumAGORA	Cs	0.0917519
22	577	CsymbiosumAGORA	Cs	0.09059465
23	577	CsymbiosumAGORA	Cs	0.08971872
24	577	CsymbiosumAGORA	Cs	0.08843959
25	577	CsymbiosumAGORA	Cs	0.08729001
26	577	CsymbiosumAGORA	Cs	0.09654815
27	577	CsymbiosumAGORA	Cs	0.09816164
28	577	CsymbiosumAGORA	Cs	0.0999767
29	577	CsymbiosumAGORA	Cs	0.1013015
30	577	CsymbiosumAGORA	Cs	0.1031857
31	577	CsymbiosumAGORA	Cs	0.1048214
32	577	CsymbiosumAGORA	Cs	0.09330625
33	577	CsymbiosumAGORA	Cs	0.09277826
34	577	CsymbiosumAGORA	Cs	0.09219169
35	577	CsymbiosumAGORA	Cs	0.09177944
36	577	CsymbiosumAGORA	Cs	0.09123692
37	577	CsymbiosumAGORA	Cs	0.09082501
38	577	CsymbiosumAGORA	Cs	0.0952329
39	577	CsymbiosumAGORA	Cs	0.09591549
40	577	CsymbiosumAGORA	Cs	0.09656584
41	577	CsymbiosumAGORA	Cs	0.09698475
42	577	CsymbiosumAGORA	Cs	0.09747978
43	577	CsymbiosumAGORA	Cs	0.09782228
44	577	CsymbiosumAGORA	Cs	0.09625758
45	577	CsymbiosumAGORA	Cs	0.09824684
46	577	CsymbiosumAGORA	Cs	0.1005936
47	577	CsymbiosumAGORA	Cs	0.1024183
48	577	CsymbiosumAGORA	Cs	0.1049993
49	577	CsymbiosumAGORA	Cs	0.1072592
50	577	CsymbiosumAGORA	Cs	0.09859766
51	577	CsymbiosumAGORA	Cs	0.1017535
52	577	CsymbiosumAGORA	Cs	0.1052102
53	577	CsymbiosumAGORA	Cs	0.1076645
54	577	CsymbiosumAGORA	Cs	0.1109714
55	577	CsymbiosumAGORA	Cs	0.1137536
56	577	CsymbiosumAGORA	Cs	0.09366559
57	577	CsymbiosumAGORA	Cs	0.09337076
58	577	CsymbiosumAGORA	Cs	0.09305896
59	577	CsymbiosumAGORA	Cs	0.09283343
60	577	CsymbiosumAGORA	Cs	0.09253069
61	577	CsymbiosumAGORA	Cs	0.09232125
1	577	DpigerAGORA	Dp	0.0002325298
2	577	DpigerAGORA	Dp	0.0002279535
