noiseLevel	SimRun	TimePoint	niceLab	compound	value
8	13	577	l-histidine	his_L[env]	0.296618304189919
8	13	577	l-isoleucine	ile_L[env]	0.285657333305694
8	13	577	indole	indole[env]	0.140002353944575
8	13	577	isobutyrate; 2-methylpropanoate	isobut[env]	0
8	13	577	potassium	k[env]	20.885728403858
8	13	577	l-leucine	leu_L[env]	0.153706716387557
8	13	577	l-lysinium(1+)	lys_L[env]	0.210724300794352
8	13	577	maltotriose	malttr[env]	0.00395401878057864
8	13	577	l-methionine	met_L[env]	0.3772184065399
8	13	577	magnesium	mg2[env]	23.3712269112222
8	13	577	mn2+	mn2[env]	19.919470688076
8	13	577	molybdate	mobd[env]	20.8872430276939
8	13	577	menaquinone 7	mqn7[env]	0.219254202338247
8	13	577	sodium	na1[env]	20.0565903186059
8	13	577	nicotinate	nac[env]	0.19786999356373
8	13	577	ammonium	nh4[env]	12.4514185697749
8	13	577	octadecanoate (n-c18:0)	ocdca[env]	0.0894582536681954
8	13	577	ornithine	orn[env]	0.0116997641396673
8	13	577	phenylacetate	pac[env]	0.163671354332828
8	13	577	l-phenylalanine	phe_L[env]	0.00616481671192494
8	13	577	protoheme	pheme[env]	0.230592157278082
8	13	577	hydrogenphosphate	pi[env]	2245.63684820366
8	13	577	(r)-pantothenate	pnto_R[env]	0.228454573145701
8	13	577	propionate	ppa[env]	4.63804488930592
8	13	577	l-proline	pro_L[env]	0.0176635989171018
8	13	577	putrescine	ptrc[env]	0.100708916099955
8	13	577	pyridoxal	pydx[env]	0.443691377006412
8	13	577	pyridoxine	pydxn[env]	0.0077814831195972
8	13	577	ubiquinone-8	q8[env]	0.201431601427898
8	13	577	riboflavin	ribflv[env]	0.228281497613771
8	13	577	selenite	selni[env]	20.0148730737953
8	13	577	l-serine	ser_L[env]	0.0140409985567686
8	13	577	siroheme	sheme[env]	0.21785484851314
8	13	577	sulfate	so4[env]	23.762057524431
8	13	577	succinate	succ[env]	0.000457425790362271
8	13	577	sucrose	sucr[env]	0.00746911823631257
8	13	577	thiamin	thm[env]	0.220775201693926
8	13	577	l-threonine	thr_L[env]	0.0061156406753328
8	13	577	l-tryptophan	trp_L[env]	0.00398584172012912
8	13	577	tetradecanoate (n-c14:0)	ttdca[env]	0.122275815431178
8	13	577	l-tyrosine	tyr_L[env]	0.159325051915076
8	13	577	uracil	ura[env]	0.138256880093842
8	13	577	l-valine	val_L[env]	0.289864791810535
8	13	577	zinc	zn2[env]	20.907076732529
8	14	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	0.167017934442981
8	14	577	3-methyl-2-oxopentanoate	3mop[env]	0.000000000295820783360504
8	14	577	4-aminobutanoate	4abut[env]	0.055782872994679
8	14	577	acetate	ac[env]	2.9291413071399
8	14	577	l-alanine	ala_L[env]	0.0128436831588636
8	14	577	amylopectin; 900 repeat units	amylopect900[env]	0.0000147000813283783
8	14	577	amylose (n=300 repeat units; alpha-1;4-glc)	amylose300[env]	0.0000479408510674103
8	14	577	l-argininium(1+)	arg_L[env]	0.0214253469432901
8	14	577	l-asparagine	asn_L[env]	0.0083443565690893
8	14	577	l-aspartate(1-)	asp_L[env]	0.0100200543023168
8	14	577	biotin	btn[env]	0.204097483441983
8	14	577	butyrate	but[env]	3.52627206735876
8	14	577	calcium(2+)	ca2[env]	22.647012672257
8	14	577	cob(i)alamin	cbl1[env]	0.23077681189394
8	14	577	cellulose	cellul[env]	0.000530989713215795
8	14	577	l-cysteinylglycine	cgly[env]	0.0189678306257074
8	14	577	choline	chol[env]	0.00983463009440047
8	14	577	citrate	cit[env]	0.00399273266443178
8	14	577	chloride	cl[env]	23.3309516927672
8	14	577	carbon dioxide	co2[env]	7.66029034617124
8	14	577	co2+	cobalt2[env]	21.0009477178691
8	14	577	cytosine	csn[env]	0.000000000185980720247544
8	14	577	cu2+	cu2[env]	21.8070463864875
8	14	577	l-cysteine	cys_L[env]	0.0910932177619263
8	14	577	ethanol	etoh[env]	0.00240492312543189
8	14	577	fe2+	fe2[env]	22.7731121216412
8	14	577	fe3+	fe3[env]	20.8559431218998
8	14	577	folate	fol[env]	0.201235044172523
8	14	577	formate	for[env]	3.5143969353829
8	14	577	d-fructose	fru[env]	0.00925898019887113
8	14	577	d-galactose	gal[env]	0.0133722594593457
8	14	577	d-glucose	glc_D[env]	0.00934511099299582
8	14	577	l-glutamine	gln_L[env]	0.0111393446596117
8	14	577	l-glutamate(1-)	glu_L[env]	0.00727853597636981
8	14	577	glycine	gly[env]	0.0251115229518447
8	14	577	glycerol	glyc[env]	0.0129195633059219
8	14	577	guanine	gua[env]	0.000000000310142981091205
8	14	577	hydrogen	h2[env]	0.936827691127019
8	14	577	water	h2o[env]	2433.88491649398
8	14	577	hydrogen sulfide	h2s[env]	23.3554087475753
8	14	577	proton	h[env]	0.360323371400473
8	14	577	hexadecanoate (n-c16:0)	hdca[env]	0.120209575434984
8	14	577	l-histidine	his_L[env]	0.307991929243242
8	14	577	l-isoleucine	ile_L[env]	0.278596032227212
8	14	577	indole	indole[env]	0.152626298934219
8	14	577	isobutyrate; 2-methylpropanoate	isobut[env]	0
8	14	577	potassium	k[env]	19.8856153116377
8	14	577	l-leucine	leu_L[env]	0.176675978704255
8	14	577	l-lysinium(1+)	lys_L[env]	0.197572353480629
8	14	577	maltotriose	malttr[env]	0.0046589178742876
8	14	577	l-methionine	met_L[env]	0.375327613727264
8	14	577	magnesium	mg2[env]	20.2233759612498
8	14	577	mn2+	mn2[env]	25.995949892673
8	14	577	molybdate	mobd[env]	24.2315802522016
8	14	577	menaquinone 7	mqn7[env]	0.218070390393775
8	14	577	sodium	na1[env]	19.4066024502357
8	14	577	nicotinate	nac[env]	0.182343752890849
8	14	577	ammonium	nh4[env]	12.4269284476844
8	14	577	octadecanoate (n-c18:0)	ocdca[env]	0.084190908142209
8	14	577	ornithine	orn[env]	0.0055753945628369
8	14	577	phenylacetate	pac[env]	0.133806914321513
8	14	577	l-phenylalanine	phe_L[env]	0.00452615355480988
8	14	577	protoheme	pheme[env]	0.23190554076945
8	14	577	hydrogenphosphate	pi[env]	2104.35012355573
8	14	577	(r)-pantothenate	pnto_R[env]	0.195645581910299
8	14	577	propionate	ppa[env]	5.00824417209767
8	14	577	l-proline	pro_L[env]	0.0146773019860762
8	14	577	putrescine	ptrc[env]	0.0474184108950766
8	14	577	pyridoxal	pydx[env]	0.349505478053996
8	14	577	pyridoxine	pydxn[env]	0.00572031990741903
8	14	577	ubiquinone-8	q8[env]	0.222553685142457
8	14	577	riboflavin	ribflv[env]	0.188666615923467
8	14	577	selenite	selni[env]	19.4786713452518
8	14	577	l-serine	ser_L[env]	0.0123965387144146
8	14	577	siroheme	sheme[env]	0.213081380467003
8	14	577	sulfate	so4[env]	22.5902644838981
8	14	577	succinate	succ[env]	0.000526324371573869
8	14	577	sucrose	sucr[env]	0.00698844576836948
8	14	577	thiamin	thm[env]	0.213690963119691
8	14	577	l-threonine	thr_L[env]	0.00580710837223116
8	14	577	l-tryptophan	trp_L[env]	0.00394857647592899
8	14	577	tetradecanoate (n-c14:0)	ttdca[env]	0.12717647178703
8	14	577	l-tyrosine	tyr_L[env]	0.165843001389531
8	14	577	uracil	ura[env]	0.142738905346281
8	14	577	l-valine	val_L[env]	0.251420853129386
8	14	577	zinc	zn2[env]	19.5282018886957
8	15	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	0.199993509429942
8	15	577	3-methyl-2-oxopentanoate	3mop[env]	0.000000000321718444720089
8	15	577	4-aminobutanoate	4abut[env]	0.0601858891536222
8	15	577	acetate	ac[env]	2.98987985796199
8	15	577	l-alanine	ala_L[env]	0.0137604236935964
8	15	577	amylopectin; 900 repeat units	amylopect900[env]	0.0000169837394137425
8	15	577	amylose (n=300 repeat units; alpha-1;4-glc)	amylose300[env]	0.000046230664101549
8	15	577	l-argininium(1+)	arg_L[env]	0.0242202278544378
8	15	577	l-asparagine	asn_L[env]	0.00879005304968468
8	15	577	l-aspartate(1-)	asp_L[env]	0.00922096521222358
8	15	577	biotin	btn[env]	0.189043881124429
8	15	577	butyrate	but[env]	3.81026290125645
8	15	577	calcium(2+)	ca2[env]	18.9519387708273
8	15	577	cob(i)alamin	cbl1[env]	0.214927289319974
8	15	577	cellulose	cellul[env]	0.000541997717135504
8	15	577	l-cysteinylglycine	cgly[env]	0.0185315136892085
8	15	577	choline	chol[env]	0.00914233011389377
8	15	577	citrate	cit[env]	0.00426764470125952
8	15	577	chloride	cl[env]	22.6937038902816
8	15	577	carbon dioxide	co2[env]	7.89673378052614
8	15	577	co2+	cobalt2[env]	18.399124904041
8	15	577	cytosine	csn[env]	0.000000000210475165392862
8	15	577	cu2+	cu2[env]	20.6513141140832
8	15	577	l-cysteine	cys_L[env]	0.104117469481746
8	15	577	ethanol	etoh[env]	0.0027659483037154
8	15	577	fe2+	fe2[env]	21.0285695323835
8	15	577	fe3+	fe3[env]	22.1304661803212
8	15	577	folate	fol[env]	0.230942887682127
8	15	577	formate	for[env]	3.67897188515302
8	15	577	d-fructose	fru[env]	0.00954325445899056
8	15	577	d-galactose	gal[env]	0.0124264481871991
8	15	577	d-glucose	glc_D[env]	0.0103537246902404
8	15	577	l-glutamine	gln_L[env]	0.0115317434882827
8	15	577	l-glutamate(1-)	glu_L[env]	0.00981527466919595
8	15	577	glycine	gly[env]	0.0213023936041146
8	15	577	glycerol	glyc[env]	0.0118314451348794
8	15	577	guanine	gua[env]	0.000000000343320432364324
8	15	577	hydrogen	h2[env]	0.731061074977285
8	15	577	water	h2o[env]	2042.06658637055
8	15	577	hydrogen sulfide	h2s[env]	24.6126271160046
8	15	577	proton	h[env]	0.376472855135284
8	15	577	hexadecanoate (n-c16:0)	hdca[env]	0.117571688515409
8	15	577	l-histidine	his_L[env]	0.260207174616939
8	15	577	l-isoleucine	ile_L[env]	0.291676888592891
8	15	577	indole	indole[env]	0.160639349077945
8	15	577	isobutyrate; 2-methylpropanoate	isobut[env]	0
8	15	577	potassium	k[env]	22.1638348328843
8	15	577	l-leucine	leu_L[env]	0.128656751827244
8	15	577	l-lysinium(1+)	lys_L[env]	0.167497918496455
8	15	577	maltotriose	malttr[env]	0.00448513094692544
8	15	577	l-methionine	met_L[env]	0.383219323333797
8	15	577	magnesium	mg2[env]	22.0987001874176
8	15	577	mn2+	mn2[env]	20.6194188337533
8	15	577	molybdate	mobd[env]	24.5279696309262
8	15	577	menaquinone 7	mqn7[env]	0.180502973758912
8	15	577	sodium	na1[env]	20.4426935790133
8	15	577	nicotinate	nac[env]	0.191822422623917
8	15	577	ammonium	nh4[env]	12.7548067253717
