ModelAGORA	Organism	CopyNum
Clostridium_botulinum_A_str_ATCC_3502	Clostridium botulinum A str. ATCC 3502	9
Clostridium_botulinum_A_str_Hall	Clostridium botulinum A str. Hall	8
Clostridium_botulinum_Bf	Clostridium botulinum Bf	19
Clostridium_botulinum_E1_str_BoNT_E_Beluga	Clostridium botulinum E1 str. 'BoNT E Beluga'	12
Clostridium_botulinum_F_str_230613	Clostridium botulinum F str. 230613	9
Clostridium_butyricum_DSM_10702	Clostridium butyricum DSM 10702	1
Clostridium_butyricum_E4_str_BoNT_E_BL5262	Clostridium butyricum E4 str. BoNT E BL5262	15
Clostridium_cadaveris_AGR2141	Clostridium cadaveris AGR2141	8
Clostridium_celatum_DSM_1785	Clostridium celatum DSM 1785	1
Clostridium_cellobioparum_DSM_1351	Clostridium cellobioparum DSM 1351 = ATCC 15832	4
Clostridium_citroniae_WAL_17108	Clostridium citroniae WAL-17108	7
Clostridium_clariflavum_DSM_19732	Clostridium clariflavum DSM 19732	6
Clostridium_clostridioforme_CM201	Clostridium clostridioforme CM201	6
Clostridium_difficile_CD196	Clostridium difficile CD196	10
Clostridium_difficile_NAP07	Clostridium difficile NAP07	1
Clostridium_difficile_NAP08	Clostridium difficile NAP08	1
Clostridium_difficile_R20291	Clostridium difficile R20291	9
Clostridium_glycolicum_ATCC_14880	Clostridium glycolicum ATCC 14880 = DSM 1288	5
Clostridium_hathewayi_12489931	Clostridium hathewayi 12489931	2
Clostridium_hathewayi_DSM_13479	Clostridium hathewayi DSM 13479	1
Clostridium_hiranonis_TO_931_DSM_13275	Clostridium hiranonis TO-931 DSM 13275	1
Clostridium_hylemonae_DSM_15053	Clostridium hylemonae DSM 15053	0
Clostridium_indolis_DSM_755	Clostridium indolis DSM 755	6
Clostridium_innocuum_2959	Clostridium innocuum 2959	5
Clostridium_leptum_DSM_753	Clostridium leptum DSM 753	2
Clostridium_methoxybenzovorans_SR3	Clostridium methoxybenzovorans SR3	6
Clostridium_methylpentosum_R2_DSM_5476	Clostridium methylpentosum R2, DSM 5476	1
Clostridium_nexile_DSM_1787	Clostridium nexile DSM 1787	2
Clostridium_paraputrificum_AGR2156	Clostridium paraputrificum AGR2156	3
Clostridium_perfringens_ATCC_13124	Clostridium perfringens ATCC 13124	8
Clostridium_ramosum_VPI_0427_DSM_1402	Clostridium ramosum VPI 0427, DSM 1402	1
Clostridium_saccharogumia_DSM_17460	Clostridium saccharogumia DSM 17460	4
Clostridium_saccharoperbutylacetonicum_N1_4_HMT	Clostridium saccharoperbutylacetonicum N1-4(HMT)	4
Clostridium_sartagoforme_AAU1	Clostridium sartagoforme AAU1	1
